Campaign_Name,Clicks,Payout
AND [CPS] IN,38,0
AND [CPS] IN,14,0
AND [CPS] IN,10,0
AND [CPS] IN,1,0
AND [CPS] IN,3,0
Animoto,21,0
Animoto,125,0.16
Animoto,25,0
Animoto,90,0
Animoto,111,2.61
Animoto,96,0.48
Animoto,116,0
Animoto,57,0.13
Animoto,10,0
Animoto,1,0
Animoto,11,0
Anniecloth Global - CPS,1,0
Anniecloth Global - CPS,1,0
Anycubic,17,0
Anycubic,45,0
Anycubic,60,0
Anycubic,19,0
Anycubic,30,0
Anycubic,34,22.9
Anycubic,195,36.1
Anycubic,39,0
Anycubic,44,0
Anycubic,26,0
Anycubic,9,0
Anycubic,35,1.25
Anycubic,39,0
Apollo Pharmacy,1,0
Apollo Pharmacy,33,0
Apollo Pharmacy,26,0
Apollo Pharmacy,67,0
Apollo Pharmacy,21,0
Apollo Pharmacy,54,0
Apollo Pharmacy,49,0
Apollo Pharmacy,27,0
Apple Music,230,0
Apple Music,206,0
Apple Music,145,0
Apple Music,87,0
Apple Music,87,0
Apple Music,74,0
Apple Music,131,0
Apple Music,110,0
Aqualens [CPS] IN,1545,0
Aqualogica [CPS] IN,25,0
Aqualogica.in CPS - India,2,0
Aqualogica.in CPS - India,1,0
Aqualogica.in CPS - India,1,0
Aqualogica.in CPS - India,1,0
Aqualogica.in CPS - India,11,38.52
Aqualogica.in CPS - India,14,0
Aqualogica.in CPS - India,31,0
Aqualogica.in CPS - India,8,0
Arata,2,0
Arkuda Digital,1,0
Arkuda Digital,1,0
Arkuda Digital,1,0
At Home,14,0
At Home,2,0
At Home,7,0
At Home,3,0
AT&T Mobility CPS(Paused),1542,0
AT&T Mobility CPS(Paused),198,0
AT&T Mobility CPS(Paused),640,0
AT&T Mobility CPS(Paused),640,0
AT&T Mobility CPS(Paused),1125,0
AT&T Mobility CPS(Paused),1125,0
Atlas VPN,154,0
Atlas VPN,154,0
Atlas VPN,159,62.66
Atlas VPN,1142,42.91
Atlas VPN,2014,93.01
Atlas VPN,393,0
Atlas VPN,128,0
Atlas VPN,92,0
Atlas VPN,52,0
Atlas VPN,49,0
Atlas VPN,87,7.19
Atlas VPN,14,0
Atlas VPN,159,62.66
Atlas VPN,1049,49.48
Atlas VPN,1142,42.91
Atlas VPN,2014,93.01
Atlas VPN,393,0
Atlas VPN,128,0
Atlas VPN,92,0
Atlas VPN,52,0
Atlas VPN,49,0
Atlas VPN,87,7.19
Atlas VPN,14,0
Atlas VPN,154,0
Atlas VPN,1049,49.48
Atlas VPN,518,72.4
Atlas VPN,1142,42.91
Atlas VPN,2014,93.01
Atlas VPN,77,0
Atlas VPN,198,0
Atlas VPN,1,0
Aurora3D Software,1,0
Autodesk [CPS] APAC,6,0
Autodesk [CPS] APAC,4,0
Autodesk [CPS] APAC,7,0
Autodesk [CPS] APAC,6,0
Avira.com Utility CPS - Worlwide,10,0
Avira.com Utility CPS - Worlwide,2,0
Avira.com Utility CPS - Worlwide,7,0
Avira.com Utility CPS - Worlwide,4,0
Avira.com Utility CPS - Worlwide,3,0
Avira.com Utility CPS - Worlwide,8,52.45
Avira.com Utility CPS - Worlwide,1,0
Avira.com Utility CPS - Worlwide,1,0
Banggood,427,0
Banggood,1062,0
Banggood,430,0
Banggood,233,0
Banggood,219,0
Banggood,150,0
Banggood,127,0
Banggood,254,0
Banggood,302,0
Banggood,427,0
Banggood,17,0
Banggood,3204,0
Banggood,1062,0
Banggood,430,0
Banggood,233,0
Banggood,219,0
Banggood,150,0
Banggood,127,0
Banggood,254,0
Banggood,26,0
Banggood,302,0
Banggood,1062,0
Banggood,472,0
Banggood,236,0
Banggood,291,0
Banggood,266,0
Banggood,130,0
Banggood,79,0
Banggood WW,2070,0
Banggood WW,2733,0
Banggood WW,3052,0
Banggood WW,52,0
Banggood WW,3198,0
Banggood WW,309,0
Bath and Body Works [CPS] IN,1,0
Bath and Body Works [CPS] IN,13,0
Bath and Body Works [CPS] IN,586,0
Bath and Body Works [CPS] IN,790,0
Beardo [CPS] IN,62,0
Beardo [CPS] IN,21,0
Beardo [CPS] IN,16,0
Beardo [CPS] IN,14,0
Beardo [CPS] IN,9,0
Beardo [CPS] IN,61,0
Beardo [CPS] IN,56,0
Beardo [CPS] IN,11,0
Beardo [CPS] IN,11,0
Beardo [CPS] IN,8,0
Beardo [CPS] IN,3,0
Beardo [CPS] IN,3,0
Beatxp,59,0
Beatxp,36,0
Beatxp,3,0
Beatxp,1,0
Bellavitaorganic.com CPS - India,5,0
belle you,1,0
belle you,26,0
Bellelily Many GEOs,19,0
Bellelily Many GEOs,14,0
Bellelily Many GEOs,36,0
Bellelily Many GEOs,6,0
Bellelily Many GEOs,3,0
Bellelily Many GEOs,5,0
Bellelily Many GEOs,1,0
Bellelily Many GEOs,2,0
Bellelily Many GEOs,1,0
Benetton.com CPS - India,6,0
Benetton.com CPS - India,1,0
Benetton.com CPS - India,3,0
Benetton.com CPS - India,4,0
Benetton.com CPS - India,798,0
Benetton.com CPS - India,1463,0
Best Buy U.S,1781,0
Best Buy U.S,1,0
Best Buy U.S,5,0
Best Buy U.S,3307,0
Best Buy U.S,3195,0
Best Buy U.S,3252,0
Best Buy U.S,2934,0
Best Buy U.S,2597,0
Best Buy U.S,244,0
Best Buy U.S,27,0
Best Buy U.S,22,0
Best Buy U.S,27,0
Best Buy U.S,35,0
Best Buy U.S,10,0
Biba New [CPS] WW,5,0
Biba New [CPS] WW,2,0
Biba New [CPS] WW,1,0
Biba New [CPS] WW,8,0
BigCommerce Many GEOs,648,0
BigCommerce Many GEOs,118,0
Bigrock [CPS] IN,41,18
Bigrock [CPS] IN,60,75
Bigrock [CPS] IN,91,25
Bigrock [CPS] IN,128,50
BigRock.in,2,0
BigRock.in,3,0
BigRock.in,7,0
BigRock.in,41,27.32
BigRock.in,4,0.82
BigRock.in,9,0
BigRock.in,12,0
BigRock.in,4,0
BigRock.in,5,0
BigRock.in,8,0
BigRock.in,7,0
BigRock.in,90,28.14
BigRock.in,25,17.9
BigRock.in,41,27.32
BigRock.in,4,0.82
BigRock.in,1,0
BigRock.in,9,0
BigRock.in,3,0
BigRock.in,12,0
BigRock.in,4,0
BigRock.in,1,0
BigRock.in,5,0
BigRock.in,8,0
BigRock.in,143,11.95
BigRock.in,121,11.25
BigRock.in,173,92.96
BigRock.in,95,59.98
BigRock.in,18,0.49
BigRock.in,13,0
Bigrock.in Utility CPA - Worldwide,19,0
Blackview WW,22,0
Blackview WW,2,0
Blackview WW,7,0
Blackview WW,33,0
Blackview WW,10,0
Blackview WW,4,0
Blackview WW,2,0
Blackview WW,1,0
Blackview WW,6,0
Blackview WW,6,0
Blackview WW,3,0
Blibli.com CPS - Indonesia,347,0
Blibli.com CPS - Indonesia,397,0
Blibli.com CPS - Indonesia,664,0
Blibli.com CPS - Indonesia,337,0
Blibli.com CPS - Indonesia,209,0
Blibli.com CPS - Indonesia,157,0
Blibli.com CPS - Indonesia,77,0
Blibli.com CPS - Indonesia,394,0
Blibli.com CPS - Indonesia,277,0
Blinkist,124,0
Blinkist,54,0
Blinkist,39,0
Blinkist,16,0
Blinkist,18,0
Blinkist,23,0
Blinkist,39,0
Blinkist,65,0
Blinkist,124,0
Blinkist,379,0
Blinkist,54,0
Blinkist,39,0
Blinkist,16,0
Blinkist,18,0
Blinkist,23,0
Blinkist,39,0
Blinkist,66,0
Bluebella,3,0
Bluebella,4,0
Bluebella,13,0
Bluehost,409,0
Bluehost,23,0
Bluehost,200,0
Bluehost,86,0
Bluehost,32,0
Bluehost,41,0
Bluehost,55,0
Bluehost,74,0
Bluehost,97,0
Bluehost,409,0
Bluehost,5,0
Bluehost,2,0
Bluehost,23,0
Bluehost,11,65
Bluehost,4,0
Bluehost,200,0
Bluehost,86,0
Bluehost,3,0
Bluehost,32,0
Bluehost,5,0
Bluehost,41,0
Bluehost,55,0
Bluehost,74,0
Bluehost,98,0
Bluehost,23,0
Bluehost.com Utility CPA - Worldwide,1,0
Boat Lifestyle,99,0
Boat Lifestyle,99,0
Boat Lifestyle,195,97.56
