Campaign_Name,Clicks,Payout
HappyFares [CPS] IN,564,0.0
HappyFares [CPS] IN,504,0.0
Insider [CPS] IN,7017,0.0
Insider [CPS] IN,4545,0.0
Insider [CPS] IN,5151,0.0
Insider [CPS] IN,4340,0.0
Insider [CPS] IN,3056,0.0
InVideo,865,13.13
InVideo,923,41.25
InVideo,3325,90.88
InVideo,865,13.13
InVideo,923,41.25
InVideo,865,13.13
InVideo,923,41.25
InVideo,630,15.0
InVideo,1174,29.75
InVideo,1383,30.0
InVideo WW,1524,0.0
Jiomart [CPS] IN,834,15.54
Jiomart [CPS] IN,690,88.73
Jiomart [CPS] IN,626,0.0
Jomashop Global - CPS (Paused),887,0.0
Kaspersky Many GEOs,930,58.13
Kiwi.com CPS - Worldwide,564,0.0
Kiwi.com CPS - Worldwide,2091,0.0
Kiwi.com CPS - Worldwide,5215,0.0
KKday - CPS,1304,49.9907
KKday - CPS,1304,49.9907
KKday - CPS,1201,38.0834
KKday - CPS,1201,38.0834
KKday - CPS,1764,78.8661
KKday - CPS,1764,78.8661
KKday - CPS,1786,85.413
KKday - CPS,1786,85.413
Klook - CPS,963,26.2622
Klook - CPS,963,26.2622
Klook - CPS,829,60.4913
Klook - CPS,829,60.4913
Klook - CPS,690,29.3923
Klook - CPS,690,29.3923
Klook - CPS,552,73.8542
Klook - CPS,552,73.8542
Klook - CPS,531,12.8144
Klook - CPS,531,12.8144
Lenovo India,1564,0.0
Lenovo India,1781,0.0
Lenovo India,1564,0.0
Lenovo India,4169,0.0
Lenovo India,1785,0.0
Lenovo India,957,0.0
Lenovo India,751,5.89
Lenovo India,853,0.0
LightintheBox.com CPS - Worldwide,579,0.0
MakeMyTrip.com Bus CPS - India,676,0.0
MakeMyTrip.com Bus CPS - India,722,0.0
Makemytrip.com Domestic Hotels CPS - India,797,0.0
Medibuddy [CPS] IN,1098,0.0
Medibuddy [CPS] IN,695,0.0
Medibuddy [CPS] IN,971,0.0
Medibuddy [CPS] IN,575,0.0
Medibuddy [CPS] IN,996,0.0
Medibuddy [CPS] IN,554,0.0
Microsoft [CPS] IN US APAC,2663,75.2
Moglix [CPS] IN,510,0.0
Moglix [CPS] IN,543,0.0
Myntra [CPS] IN,679,0.0
Myprotein - CPS,1704,0.0
Myprotein - CPS,1704,0.0
Nexo - CPA,1083,0.0583
Nexo - CPA,1083,0.0583
Nexo - CPA,582,0.0211
Nexo - CPA,582,0.0211
Nexo - CPA,849,0.0
Nexo - CPA,849,0.0
Nike [CPS] APAC,737,0.0
Nykaa Beauty [CPS] IN,1164,12.21
Omio.com CPS - Worldwide,503,0.0
OnePlus US & Ca0da,2135,0.0
Oppo India [CPS] IN,576,84.13
Pdffiller Many Geos,590,0.0
PUMA,1689,0.0
PUMA,513,0.0
PUMA,1689,0.0
Puma.com CPS - India,584,0.0
RealMe old [CPS] IN,885,0.0
RealMe old [CPS] IN,770,0.0
RealMe old [CPS] IN,587,0.0
RealMe old [CPS] IN,544,0.0
Reliance Digital [CPS] IN,624,0.0
Reliance Digital [CPS] IN,517,0.0
Reliance Digital [CPS] IN,2633,0.0
Reliance Digital [CPS] IN,915,0.0
Remitly,718,4.0
Semrush - CPA,1297,0.0
Semrush - CPA,4156,24.0
Semrush - CPA,4156,24.0
Semrush - CPA,2099,0.0
Semrush - CPA,2099,0.0
Shopee Indonesia - CPS,32600,47.5196
Shopee Indonesia - CPS,14989,26.3346
Shopee Indonesia - CPS,15374,36.0975
Shopee Indonesia - CPS,15374,36.0975
Shopee Indonesia - CPS,9840,19.3381
Shopee Indonesia - CPS,10177,24.4127
Shopee Indonesia - CPS,10812,7.1883
Shopee Indonesia - CPS,10812,7.1883
Shopee Indonesia - CPS,20808,15.5947
Shopee Indonesia - CPS,20808,15.5947
Shopee Indonesia - CPS,27996,23.6692
Shopee Indonesia - CPS,27996,23.6692
Shopee Indonesia - CPS,15951,22.5301
Shopee Indonesia - CPS,15951,22.5301
Shopee Indonesia - CPS,16008,15.8092
Shopee Indonesia - CPS,16008,15.8092
Shopee Indonesia - CPS,16031,12.228
Shopee Indonesia - CPS,16031,12.228
Shopee Indonesia - CPS,4517,2.6911
Shopee Indonesia - CPS,4517,2.6911
