Campaign_Name,Time,Payout,Clicks,Partner
Thriftbooks - CPS,L-December'2023,0.8137,688,Pokket_XO
Thriftbooks - CPS,L-December'2023,0.8137,688,Pokket_XO
Thriftbooks - CPS,M-January'2024,0.3682,2642,Pokket_XO
Thriftbooks - CPS,M-January'2024,0.3682,2642,Pokket_XO
Thriftbooks - CPS,N-February'2024,1.1134,2546,Pokket_XO
Thriftbooks - CPS,N-February'2024,1.1134,2546,Pokket_XO
Tiqets CPS (Offline),A-January'2023,23.3723,1024,Pokket_FS
Tiqets CPS (Offline),B-February'2023,0,592,Pokket_FS
Titan [CPS] IN,H-August'2023,0,914,Admitad_FS
Titan [CPS] IN,E-May'2023,0,1139,Admitad_XO
Titan [CPS] IN,G-July'2023,0,2031,Admitad_XO
Titan [CPS] IN,M-January'2024,0,1031,Admitad_XO
Trainline WW,G-July'2023,63.76,49965,Admitad_FS
TutorialsPoint.com CPS - Worldwide,G-July'2023,0,2310,Vcom_new
TutorialsPoint.com CPS - Worldwide,H-August'2023,0,1187,Vcom_new
TutorialsPoint.com CPS - Worldwide,I-September'2023,0,1064,Vcom_new
TutorialsPoint.com CPS - Worldwide,E-May'2023,0,704,Vcom_old
Uber Global Riders,B-February'2023,0,3570,Imapct_ZO
Uber Global Riders,A-January'2023,0,5323,Impact_ZO
Uber Global Riders,I-September'2023,0,536,Impact_ZO
Uber Global Riders,L-December'2023,0,1542,Impact_ZO
Udacity Affiliate Program,A-January'2023,0,997,Impact_A_Goyal
Udacity Affiliate Program,D-April'2023,0,927,Impact_A_Goyal
Udacity Affiliate Program,E-May'2023,0,1042,Impact_A_Goyal
Upwork,B-February'2023,0,1346,Imapct_ZO
Upwork,A-January'2023,0,2273,Impact_ZO
Upwork,G-July'2023,70,917,Impact_ZO
Upwork,H-August'2023,0,1331,Impact_ZO
Upwork,I-September'2023,0,1307,Impact_ZO
Upwork,K-November'2023,35,851,Impact_ZO
Upwork,L-December'2023,14,998,Impact_ZO
Veromoda [CPS] IN,G-July'2023,0,568,Admitad_FS
Vrbo - CPS,A-January'2023,8.56,2329,Pokket_FS
Vrbo - CPS,L-December'2023,0,845,Pokket_FS
Vueling FR CPS,A-January'2023,0,4758,Pokket_FS
Vueling FR CPS,B-February'2023,0,5063,Pokket_FS
Vueling FR CPS,C-March'2023,0,5333,Pokket_FS
Vueling FR CPS,D-April'2023,0,5333,Pokket_FS
Vueling FR CPS,E-May'2023,0,787,Pokket_FS
Vueling FR CPS,C-March'2023,0,1646,Pokket_XO
Vueling FR CPS,C-March'2023,0,1646,Pokket_XO
Vueling FR CPS,D-April'2023,0,814,Pokket_XO
Vueling FR CPS,D-April'2023,0,814,Pokket_XO
Walmart Affiliate Program,A-January'2023,11.95,11333,Imact_Hyzzo
Walmart Affiliate Program,I-September'2023,73.21,3602,Impact_FS
Walmart Affiliate Program,J-October'2023,69.03,3230,Impact_FS
Walmart Affiliate Program,L-December'2023,99.71,3686,Impact_FS
Walmart Affiliate Program,I-September'2023,73.21,3602,Impact_Hyzzo
Walmart Affiliate Program,J-October'2023,69.03,3230,Impact_Hyzzo
Walmart Affiliate Program,L-December'2023,99.71,3686,Impact_Hyzzo
Walmart Affiliate Program,A-January'2023,11.95,11333,Impact_XO
Web.com,B-February'2023,0,3698,Imapct_ZO
Web.com,A-January'2023,0,4178,Impact_FS
Web.com,L-December'2023,0,799,Impact_FS
Web.com,N-February'2024,0,3656,Impact_FS
Web.com,A-January'2023,0,4178,Impact_Hyzzo
Web.com,C-March'2023,10,9378,Impact_Hyzzo
Web.com,L-December'2023,0,799,Impact_Hyzzo
Web.com,N-February'2024,0,3658,Impact_Hyzzo
Web.com,A-January'2023,75,4638,Impact_ZO
Web.com,B-February'2023,10,3436,Impact_ZO
Web.com,C-March'2023,60,3582,Impact_ZO
Web.com,D-April'2023,80,3142,Impact_ZO
Web.com,E-May'2023,0,2859,Impact_ZO
WinZip and ReviverSoft | Utility Software,M-January'2024,0,577,Partnerize_Hyzzo
Wish,C-March'2023,14,1711,Impact_Hyzzo
Wondershare Software,B-February'2023,36.12,869,Impact_Hyzzo
Wondershare Software,M-January'2024,17.89,1224,Impact_Hyzzo
Yesstyle.com CPS - Worldwide,L-December'2023,0,941,Vcom_new
Yesstyle.com CPS - Worldwide,M-January'2024,0,2480,Vcom_new
Yoox Many GEOs,A-January'2023,0,988,Admitad_FS
Yoox Many GEOs,B-February'2023,0,614,Admitad_FS
Yoox Many GEOs,D-April'2023,0,724,Admitad_FS
Zulily.com CPS - USA,D-April'2023,0,2284,Vcom_old
Zulily.com CPS - USA,E-May'2023,0,1085,Vcom_old
Zulily.com CPS - USA,F-June'2023,0,987,Vcom_old
